booking_id,user_id,table_id,booking_date,time_slot,party_size,occasion,duration_minutes,status,special_requests,is_repeat_customer,booking_advance_days,total_spent,created_at
B000043,U0291,T026,2024-12-07,Early Dinner,2,Friends,155,Completed,True,False,16,429.58,2024-11-08
B000044,U0164,T038,2023-12-03,Lunch,2,Business,105,Completed,True,False,22,473.29,2023-11-25
B000045,U0280,T002,2023-12-20,Early Dinner,2,Family,105,Completed,False,False,21,248.89,2023-11-26
B000046,U0847,T011,2024-12-29,Prime Dinner,4,Friends,144,Cancelled,False,True,4,598.39,2024-12-03
B000047,U0870,T013,2024-11-28,Early Dinner,2,Celebration,163,Completed,True,True,26,381.58,2024-11-10
B000048,U0906,T012,2023-02-08,Early Dinner,2,Family,151,Completed,False,False,12,261.65,2023-02-05
B000049,U0316,T041,2023-12-03,Prime Dinner,6,Celebration,143,Completed,False,True,6,938.36,2023-11-25
B000050,U0788,T030,2024-02-07,Late Dinner,4,Casual,120,No-show,False,False,12,736.98,2024-01-28
B000051,U0698,T032,2023-03-23,Prime Dinner,2,Friends,161,Completed,True,True,11,310.74,2023-03-01
B000052,U0854,T002,2023-05-19,Prime Dinner,2,Casual,145,Completed,True,False,15,401.6,2023-05-10
B000053,U0476,T008,2023-07-27,Late Dinner,2,Casual,160,Completed,False,False,6,50.0,2023-07-11
B000054,U0774,T027,2024-03-23,Early Dinner,4,Celebration,114,Completed,False,False,6,548.05,2024-03-15
B000055,U0911,T042,2024-12-02,Lunch,2,Business,107,Cancelled,False,False,20,475.13,2024-11-25
B000056,U0642,T007,2024-02-27,Early Dinner,2,Celebration,91,Completed,False,False,4,377.23,2024-02-04
B000057,U0381,T030,2023-10-17,Lunch,2,Family,94,Completed,True,True,27,375.93,2023-10-07
B000058,U0469,T050,2023-01-24,Lunch,2,Romantic,149,Completed,False,False,13,297.81,2023-01-23
B000059,U0564,T001,2024-05-22,Late Dinner,2,Family,164,Completed,False,True,24,622.29,2024-05-16
B000060,U0182,T035,2024-11-25,Late Dinner,2,Casual,176,Completed,False,False,18,309.08,2024-10-29
B000061,U0312,T018,2024-09-25,Prime Dinner,6,Celebration,85,Completed,True,False,28,577.76,2024-09-21
B000062,U0487,T028,2023-08-29,Early Dinner,4,Friends,125,Completed,False,True,3,748.42,2023-08-25
B000063,U0228,T038,2024-12-16,Prime Dinner,2,Family,132,Completed,False,True,17,291.12,2024-12-15
B000064,U0058,T022,2024-12-20,Prime Dinner,4,Family,143,Cancelled,False,True,14,646.16,2024-12-09
B000065,U0514,T042,2024-10-11,Late Dinner,2,Casual,155,No-show,False,True,21,300.39,2024-09-27
B000066,U0111,T007,2023-05-16,Lunch,2,Friends,133,Cancelled,False,False,29,300.98,2023-04-27
B000067,U0851,T050,2024-08-17,Lunch,2,Business,136,Completed,False,False,25,325.2,2024-08-04
B000068,U0246,T006,2023-02-04,Lunch,4,Romantic,121,Completed,False,False,9,567.66,2023-01-23
B000069,U0001,T010,2024-06-06,Lunch,4,Friends,106,Completed,False,True,28,573.08,2024-05-26
B000070,U0749,T046,2024-04-27,Lunch,4,Friends,122,Completed,True,True,5,855.62,2024-03-31
B000071,U0955,T023,2023-03-09,Lunch,6,Casual,94,Completed,False,True,28,1011.27,2023-03-09
B000072,U0526,T033,2023-02-21,Early Dinner,2,Business,96,Completed,False,False,5,226.77,2023-01-28
B000073,U0229,T024,2024-07-02,Prime Dinner,2,Family,169,Completed,False,False,17,184.72,2024-06-07
B000074,U0802,T022,2024-01-30,Late Dinner,4,Friends,187,Completed,True,False,16,796.48,2024-01-20
B000075,U0883,T011,2023-03-28,Early Dinner,4,Celebration,126,Completed,False,False,24,698.67,2023-03-08
B000076,U0486,T046,2023-03-09,Early Dinner,4,Friends,154,Completed,False,False,11,949.53,2023-02-17
B000077,U0160,T009,2023-11-14,Lunch,2,Romantic,95,Completed,False,False,17,270.39,2023-11-12
B000078,U0921,T036,2024-06-13,Late Dinner,2,Casual,197,Cancelled,False,False,3,339.0,2024-06-13
B000079,U0996,T041,2024-10-30,Prime Dinner,6,Business,182,Completed,False,False,1,763.83,2024-10-17
B000080,U0954,T037,2024-07-16,Prime Dinner,6,Family,128,Completed,False,True,20,287.68,2024-06-30
B000081,U0570,T045,2024-06-01,Lunch,4,Celebration,95,Completed,False,True,26,313.81,2024-06-01
B000082,U0419,T012,2023-08-29,Early Dinner,4,Casual,149,Completed,True,True,21,832.66,2023-08-20
B000083,U0511,T042,2023-11-27,Early Dinner,4,Business,120,Cancelled,False,True,15,715.0,2023-11-02
B000084,U0249,T023,2024-03-31,Prime Dinner,2,Romantic,140,Cancelled,False,True,15,316.39,2024-03-31
B000085,U0371,T044,2024-03-22,Lunch,2,Celebration,79,Completed,False,False,22,410.07,2024-02-24
B000086,U0291,T017,2024-06-29,Prime Dinner,4,Business,171,Completed,False,False,4,606.25,2024-06-18
B000087,U0313,T031,2023-07-01,Early Dinner,2,Family,123,Completed,False,False,4,223.19,2023-06-09
B000088,U0366,T039,2024-06-30,Late Dinner,6,Celebration,187,Cancelled,False,False,16,1003.71,2024-06-28
B000089,U0724,T031,2023-07-13,Prime Dinner,2,Celebration,175,Completed,True,False,12,218.52,2023-06-18
B000090,U0374,T035,2024-10-18,Late Dinner,2,Friends,171,Completed,True,False,28,344.94,2024-09-19
B000091,U0841,T047,2024-10-31,Late Dinner,2,Romantic,198,Cancelled,False,True,24,289.28,2024-10-11
B000092,U0149,T050,2024-03-27,Late Dinner,2,Business,170,Completed,False,False,19,265.77,2024-03-27
B000093,U0652,T026,2024-07-02,Early Dinner,4,Friends,136,Completed,True,True,22,614.44,2024-06-16
B000094,U0135,T021,2023-04-13,Late Dinner,2,Friends,132,Completed,False,True,13,269.59,2023-03-29
B000095,U0456,T022,2023-06-21,Early Dinner,2,Family,140,Completed,False,False,26,160.83,2023-06-11
B000096,U0106,T041,2023-08-31,Lunch,6,Business,60,Completed,False,False,4,698.22,2023-08-18
B000097,U0503,T038,2023-06-19,Lunch,2,Casual,129,Completed,False,False,9,428.02,2023-06-16
B000098,U0972,T048,2023-07-01,Prime Dinner,2,Romantic,183,Completed,False,False,24,291.98,2023-06-03
B000099,U0610,T009,2023-07-12,Early Dinner,4,Family,86,Completed,False,False,27,464.41,2023-06-22
B000100,U0486,T048,2023-11-22,Lunch,4,Friends,60,Completed,True,False,5,676.54,2023-11-17
B000101,U0141,T038,2023-01-23,Late Dinner,2,Family,192,Completed,True,True,13,379.47,2023-01-14
B000102,U0327,T024,2024-03-03,Late Dinner,2,Business,147,Completed,False,False,25,390.97,2024-02-08
B000103,U0065,T004,2023-05-20,Early Dinner,4,Celebration,128,Completed,False,True,21,476.42,2023-05-20
B000104,U0196,T012,2023-02-13,Early Dinner,4,Business,143,Completed,False,False,5,429.25,2023-01-17
B000105,U0216,T029,2023-04-21,Early Dinner,4,Family,122,Completed,False,False,7,671.46,2023-04-06
B000106,U0373,T003,2023-04-26,Lunch,2,Family,71,Completed,False,True,18,426.63,2023-04-10
B000107,U0880,T012,2023-10-21,Late Dinner,4,Business,160,Completed,False,False,9,808.93,2023-10-20
B000108,U0649,T021,2024-06-24,Prime Dinner,2,Celebration,200,Completed,False,True,24,276.73,2024-06-16
B000109,U0542,T042,2023-05-27,Late Dinner,4,Celebration,164,Completed,False,True,20,1026.69,2023-05-02
B000110,U0871,T047,2023-11-06,Late Dinner,2,Celebration,172,Completed,True,False,0,288.76,2023-10-16
B000111,U0442,T023,2024-12-03,Prime Dinner,2,Friends,172,Completed,False,False,12,260.31,2024-11-13
B000112,U0208,T033,2024-07-07,Late Dinner,4,Friends,195,Completed,False,False,8,367.6,2024-07-07
B000113,U0367,T027,2023-11-01,Prime Dinner,4,Friends,152,Completed,False,True,27,503.72,2023-10-04
B000114,U0403,T027,2024-10-04,Lunch,4,Family,157,Completed,False,False,24,323.42,2024-10-04
B000115,U0565,T021,2024-08-19,Prime Dinner,2,Business,131,Cancelled,True,True,25,412.62,2024-08-09
B000116,U0975,T019,2023-02-13,Lunch,6,Business,60,Completed,True,True,25,942.07,2023-02-11
B000117,U0082,T010,2024-12-29,Prime Dinner,4,Business,158,No-show,False,False,9,877.55,2024-12-09
B000118,U0948,T040,2024-01-18,Early Dinner,4,Casual,141,Completed,False,True,18,438.56,2024-01-12
B000119,U0827,T014,2024-08-07,Lunch,2,Romantic,93,Completed,False,False,5,357.37,2024-07-23
B000120,U0784,T025,2023-02-02,Prime Dinner,4,Celebration,164,Cancelled,True,True,18,524.72,2023-01-29
B000121,U0337,T009,2023-08-11,Prime Dinner,4,Casual,127,Completed,False,True,18,683.97,2023-07-18
B000122,U0804,T001,2023-09-05,Prime Dinner,2,Celebration,151,Completed,False,True,12,295.22,2023-08-26
B000123,U0068,T003,2023-08-04,Early Dinner,2,Friends,100,Completed,False,True,29,283.46,2023-07-12
B000124,U0192,T004,2023-09-22,Early Dinner,4,Casual,143,Completed,False,False,22,642.33,2023-08-30
B000125,U0936,T027,2024-02-05,Late Dinner,2,Friends,202,Completed,False,False,3,355.5,2024-01-29
B000126,U0064,T012,2024-05-31,Early Dinner,2,Business,97,Completed,False,False,5,283.56,2024-05-19
B000127,U0651,T021,2024-05-12,Lunch,2,Romantic,60,Completed,False,True,3,448.22,2024-04-27
B000128,U0829,T029,2024-09-03,Late Dinner,2,Celebration,196,Cancelled,False,False,28,260.06,2024-08-09
B000129,U0919,T037,2023-05-12,Early Dinner,2,Casual,128,Completed,False,True,13,501.93,2023-05-05
B000130,U0805,T026,2023-01-17,Early Dinner,4,Romantic,118,Completed,True,True,6,460.1,2022-12-28
B000131,U0945,T008,2024-11-11,Prime Dinner,4,Celebration,137,Completed,True,False,0,566.41,2024-10-17
B000132,U0408,T033,2024-07-03,Prime Dinner,4,Celebration,164,Cancelled,False,False,15,456.22,2024-06-27
B000133,U0844,T020,2023-05-07,Late Dinner,2,Friends,164,Completed,False,False,5,262.95,2023-04-16
B000134,U0255,T050,2024-02-15,Prime Dinner,2,Family,176,Completed,False,False,25,414.67,2024-02-04
B000135,U0143,T030,2024-01-05,Prime Dinner,2,Friends,138,Completed,False,False,23,225.89,2023-12-23
B000136,U0587,T042,2023-10-25,Prime Dinner,4,Friends,93,Completed,False,True,13,659.3,2023-10-01
B000137,U0355,T045,2023-09-15,Prime Dinner,4,Romantic,173,Completed,False,True,10,558.98,2023-08-17
B000138,U0010,T033,2024-10-24,Lunch,4,Friends,77,Completed,True,True,1,290.6,2024-10-03
B000139,U0429,T050,2023-03-18,Prime Dinner,2,Celebration,207,Completed,True,False,10,213.65,2023-02-19
B000140,U0270,T044,2024-09-22,Lunch,2,Business,101,Completed,False,False,15,163.32,2024-09-16
B000141,U0240,T048,2023-10-24,Late Dinner,2,Casual,173,Completed,False,True,16,307.98,2023-10-18
B000142,U0500,T046,2024-05-02,Early Dinner,4,Celebration,162,Completed,False,True,23,646.81,2024-04-22
B000143,U0154,T025,2023-03-12,Early Dinner,4,Friends,146,Completed,True,False,13,448.73,2023-03-11
B000144,U0877,T042,2023-08-06,Early Dinner,2,Friends,60,Completed,True,True,13,363.5,2023-07-27
B000145,U0015,T049,2023-09-03,Prime Dinner,2,Celebration,196,Cancelled,False,True,0,210.74,2023-08-14
B000146,U0948,T045,2024-12-28,Lunch,2,Friends,78,Completed,False,True,29,294.45,2024-12-21
B000147,U0499,T042,2023-03-29,Prime Dinner,4,Celebration,161,Completed,False,False,12,835.14,2023-03-19
B000148,U0612,T025,2024-07-14,Lunch,2,Family,60,Completed,False,True,25,300.18,2024-06-24
B000149,U0498,T006,2024-10-15,Late Dinner,2,Romantic,249,Completed,False,False,14,492.36,2024-09-17
B000150,U0868,T007,2024-04-22,Lunch,4,Romantic,60,Completed,False,True,5,548.07,2024-04-20
B000151,U0071,T034,2023-11-17,Lunch,4,Casual,75,Completed,False,False,7,568.53,2023-10-21
B000152,U0004,T002,2023-08-01,Lunch,2,Celebration,81,Completed,True,False,21,259.96,2023-07-31
B000153,U0304,T041,2024-09-12,Late Dinner,4,Friends,213,Completed,False,False,26,602.6,2024-08-14
B000154,U0110,T040,2024-11-15,Prime Dinner,4,Business,167,Completed,True,False,13,637.45,2024-11-06
B000155,U0185,T001,2024-02-11,Prime Dinner,4,Casual,154,Completed,False,True,10,647.58,2024-01-29
B000156,U0173,T018,2023-06-14,Lunch,4,Celebration,79,Completed,True,True,26,451.09,2023-05-28
B000157,U0190,T043,2024-10-02,Prime Dinner,2,Casual,125,Completed,False,False,7,337.05,2024-09-22
B000158,U0140,T016,2023-12-06,Late Dinner,2,Casual,141,Completed,False,True,17,449.89,2023-11-29
B000159,U0372,T023,2024-11-27,Lunch,2,Celebration,116,Completed,False,False,28,441.75,2024-11-13
B000160,U0211,T045,2024-12-13,Lunch,4,Business,97,Completed,False,True,13,516.62,2024-12-06
B000161,U0609,T046,2023-10-23,Lunch,4,Friends,72,Completed,False,True,11,824.77,2023-09-24
B000162,U0138,T006,2024-01-06,Prime Dinner,4,Family,157,Completed,False,False,22,615.51,2023-12-28
B000163,U0137,T021,2023-03-04,Lunch,2,Business,60,Completed,True,False,27,472.57,2023-03-04
B000164,U0269,T049,2024-11-12,Early Dinner,2,Casual,100,Completed,False,False,28,452.34,2024-10-19
B000165,U0005,T036,2023-02-11,Late Dinner,2,Business,122,Completed,False,True,17,417.33,2023-01-19
B000166,U0115,T023,2024-05-28,Early Dinner,4,Celebration,182,Completed,True,False,10,793.36,2024-05-09
B000167,U0011,T024,2024-07-26,Early Dinner,2,Romantic,162,Completed,False,True,6,259.76,2024-07-23
B000168,U0013,T021,2024-01-20,Early Dinner,2,Business,70,Completed,True,False,26,436.74,2023-12-31
B000169,U0670,T040,2023-06-08,Late Dinner,2,Celebration,169,Completed,True,False,23,208.19,2023-05-23
B000170,U0531,T009,2023-11-19,Prime Dinner,6,Family,150,No-show,False,True,20,639.52,2023-11-14
B000171,U0957,T013,2023-03-10,Early Dinner,2,Romantic,126,Completed,False,True,4,214.38,2023-02-19
B000172,U0790,T025,2024-04-27,Lunch,4,Celebration,60,Cancelled,False,False,25,712.88,2024-04-07
B000173,U0491,T011,2023-02-16,Late Dinner,2,Celebration,183,Cancelled,False,False,16,170.3,2023-02-12
B000174,U0807,T031,2024-11-25,Late Dinner,2,Casual,194,Completed,False,False,12,373.49,2024-11-13
B000175,U0716,T028,2024-02-19,Early Dinner,4,Business,131,Completed,False,False,21,293.17,2024-02-07
B000176,U0422,T003,2023-08-01,Late Dinner,2,Friends,168,Completed,False,True,26,250.32,2023-07-19
B000177,U0426,T029,2024-05-18,Lunch,2,Romantic,96,Completed,False,False,10,449.15,2024-05-02
B000178,U0727,T045,2024-12-19,Lunch,4,Celebration,60,Cancelled,True,True,29,927.52,2024-12-01
B000179,U0657,T037,2024-02-07,Late Dinner,6,Celebration,218,Completed,False,False,19,1491.51,2024-01-18
B000180,U0792,T030,2024-06-21,Late Dinner,2,Friends,184,Completed,False,True,12,298.53,2024-06-05
B000181,U0172,T045,2024-02-17,Early Dinner,4,Family,134,Completed,False,False,25,674.73,2024-01-20
B000182,U0944,T022,2024-11-08,Lunch,4,Business,74,Completed,False,False,23,521.26,2024-10-28
B000183,U0991,T041,2024-11-15,Lunch,6,Casual,88,Completed,False,True,22,1384.1,2024-11-01
B000184,U0148,T020,2024-02-20,Lunch,2,Friends,107,Cancelled,True,False,21,402.54,2024-02-11
B000185,U0506,T042,2024-02-01,Prime Dinner,2,Business,130,Completed,True,False,1,360.63,2024-01-26
B000186,U0706,T007,2024-02-04,Late Dinner,4,Celebration,167,Completed,False,True,8,570.92,2024-02-03
B000187,U0216,T002,2024-05-06,Early Dinner,2,Friends,133,Completed,False,False,12,456.98,2024-04-14
B000188,U0620,T016,2024-12-20,Prime Dinner,4,Business,161,Completed,False,True,29,700.71,2024-11-28
B000189,U0865,T048,2024-05-13,Lunch,8,Celebration,87,Cancelled,False,False,5,954.35,2024-04-22
B000190,U0643,T005,2023-08-17,Late Dinner,2,Casual,135,Cancelled,False,True,22,245.59,2023-07-24
B000191,U0353,T042,2023-03-03,Late Dinner,2,Family,226,Completed,False,False,5,295.46,2023-02-24
B000192,U0484,T036,2024-12-13,Late Dinner,2,Family,182,Completed,True,False,9,365.62,2024-11-29
B000193,U0684,T020,2024-08-23,Early Dinner,2,Casual,129,Completed,False,False,5,356.36,2024-08-17
B000194,U0133,T008,2023-12-07,Early Dinner,4,Celebration,192,Completed,False,True,20,628.16,2023-11-12
B000195,U0644,T013,2023-12-09,Late Dinner,2,Casual,159,Completed,True,True,14,332.37,2023-11-17
B000196,U0071,T039,2023-08-01,Late Dinner,8,Casual,153,Completed,False,True,14,2001.27,2023-07-05
B000197,U0349,T028,2023-05-14,Prime Dinner,2,Business,141,Completed,False,True,23,406.02,2023-05-03
B000198,U0203,T045,2023-10-15,Early Dinner,4,Casual,140,Completed,False,False,16,903.16,2023-10-07
B000199,U0984,T027,2024-06-25,Lunch,6,Casual,108,Completed,False,True,11,941.99,2024-06-15
B000200,U0205,T047,2023-06-09,Prime Dinner,2,Casual,208,Completed,True,False,1,231.54,2023-05-28
B000201,U0478,T027,2024-04-29,Prime Dinner,2,Business,153,Completed,False,True,22,365.77,2024-04-25
B000202,U0737,T037,2023-03-14,Late Dinner,6,Business,129,Completed,True,True,20,977.21,2023-03-01
B000203,U0165,T036,2024-06-21,Late Dinner,2,Friends,150,Completed,False,False,16,340.03,2024-06-15
B000204,U0514,T050,2024-08-29,Late Dinner,2,Casual,172,Completed,False,True,23,310.9,2024-08-01
B000205,U0921,T016,2024-10-12,Lunch,2,Casual,60,Cancelled,False,True,20,215.21,2024-09-29
B000206,U0009,T014,2024-10-28,Late Dinner,2,Business,173,No-show,False,True,4,315.32,2024-10-19
B000207,U0438,T032,2024-05-03,Late Dinner,2,Celebration,135,Completed,False,True,0,403.97,2024-05-03
B000208,U0792,T023,2024-11-27,Lunch,2,Romantic,160,Completed,False,False,20,298.4,2024-10-30
B000209,U0497,T018,2024-06-04,Early Dinner,2,Business,174,Completed,False,False,15,399.71,2024-05-18
B000210,U0701,T029,2023-01-02,Prime Dinner,6,Romantic,122,Cancelled,False,True,17,1375.85,2022-12-06
B000211,U0852,T034,2024-02-25,Lunch,2,Friends,140,Completed,False,False,24,329.13,2024-02-21
B000212,U0690,T031,2024-06-28,Early Dinner,2,Casual,137,Completed,False,False,27,491.85,2024-06-04
B000213,U0443,T013,2023-04-14,Early Dinner,2,Friends,106,Completed,False,False,18,263.71,2023-03-20
B000214,U0406,T028,2023-05-31,Late Dinner,4,Romantic,196,Cancelled,False,False,1,375.39,2023-05-16
B000215,U0824,T042,2024-10-28,Lunch,4,Friends,94,Completed,False,True,2,501.98,2024-10-20
B000216,U0259,T043,2023-09-25,Late Dinner,4,Family,140,Completed,True,False,11,784.64,2023-09-06
B000217,U0577,T008,2023-08-03,Late Dinner,4,Romantic,214,Completed,False,True,4,214.26,2023-07-06
B000218,U0588,T020,2023-08-15,Lunch,2,Friends,60,Completed,True,False,17,268.08,2023-07-31
B000219,U0505,T042,2023-01-02,Lunch,4,Business,119,Completed,True,False,17,504.62,2022-12-15
B000220,U0272,T021,2024-11-02,Prime Dinner,2,Friends,155,Completed,False,True,24,260.07,2024-10-27
B000221,U0598,T032,2024-02-21,Lunch,2,Friends,101,Completed,False,False,21,175.37,2024-02-01
B000222,U0319,T022,2023-07-17,Lunch,4,Romantic,60,Completed,False,False,25,416.06,2023-06-26
B000223,U0990,T014,2024-04-26,Lunch,4,Family,92,Completed,False,False,11,628.62,2024-04-16
B000224,U0642,T020,2023-12-13,Early Dinner,2,Family,158,Completed,False,False,27,343.78,2023-12-07
B000225,U0196,T022,2024-06-08,Early Dinner,4,Business,150,Completed,False,False,15,555.82,2024-06-04
B000226,U0779,T044,2023-06-12,Late Dinner,2,Romantic,172,Cancelled,False,False,22,257.01,2023-06-02
B000227,U0264,T016,2023-12-04,Lunch,2,Family,111,Completed,True,False,18,326.87,2023-11-06
B000228,U0843,T026,2023-06-07,Late Dinner,2,Business,245,Completed,False,True,25,263.0,2023-06-03
B000229,U0234,T012,2024-01-14,Early Dinner,4,Celebration,150,Completed,False,False,7,692.01,2023-12-19
B000230,U0841,T050,2023-03-05,Late Dinner,2,Casual,183,Completed,False,False,16,343.11,2023-03-05
B000231,U0640,T016,2024-03-29,Lunch,2,Romantic,116,Completed,True,False,11,249.18,2024-03-20
B000232,U0502,T016,2023-08-31,Lunch,4,Romantic,64,Completed,False,True,25,813.71,2023-08-24
B000233,U0723,T011,2023-07-05,Late Dinner,4,Celebration,138,No-show,False,False,23,531.18,2023-06-23
B000234,U0630,T039,2024-04-16,Lunch,6,Casual,88,Cancelled,True,False,13,1228.58,2024-04-01
B000235,U0029,T018,2023-06-25,Lunch,4,Romantic,106,Completed,False,True,25,530.35,2023-06-19
B000236,U0073,T016,2023-02-25,Early Dinner,2,Business,119,Completed,False,True,11,352.86,2023-02-24
B000237,U0931,T021,2024-06-08,Lunch,2,Family,65,Completed,False,False,10,154.9,2024-06-04
B000238,U0462,T016,2023-10-20,Lunch,4,Business,112,Completed,False,False,15,585.87,2023-10-12
B000239,U0379,T037,2023-07-29,Early Dinner,6,Casual,174,Cancelled,False,False,8,763.98,2023-07-05
B000240,U0696,T028,2024-01-11,Early Dinner,4,Friends,134,Completed,False,True,26,471.39,2023-12-25
B000241,U0519,T020,2024-02-01,Prime Dinner,2,Business,153,Completed,False,False,18,233.46,2024-01-14
B000242,U0534,T017,2024-11-30,Late Dinner,4,Romantic,213,Completed,False,True,18,295.2,2024-11-20
B000243,U0399,T004,2023-01-17,Lunch,2,Romantic,115,Completed,False,True,12,215.13,2022-12-28
B000244,U0943,T019,2023-04-14,Prime Dinner,2,Friends,147,Cancelled,False,False,17,280.66,2023-03-25
B000245,U0973,T011,2023-04-26,Late Dinner,4,Friends,168,Completed,False,True,23,692.19,2023-04-08
B000246,U0942,T017,2023-08-01,Early Dinner,2,Family,147,Completed,False,False,27,467.95,2023-07-30
B000247,U0033,T031,2023-03-19,Prime Dinner,2,Romantic,118,Cancelled,True,False,18,215.23,2023-03-19
B000248,U0938,T021,2023-03-07,Lunch,2,Casual,78,Completed,False,True,3,292.27,2023-02-06
B000249,U0607,T038,2023-12-05,Prime Dinner,2,Romantic,165,Cancelled,False,False,8,436.91,2023-12-03
B000250,U0267,T018,2023-09-21,Early Dinner,2,Celebration,122,Cancelled,False,False,24,373.47,2023-09-09
B000251,U0055,T044,2024-03-23,Early Dinner,2,Friends,138,Completed,False,False,23,87.95,2024-03-21
B000252,U0540,T044,2023-07-14,Late Dinner,2,Family,225,Completed,False,False,9,156.87,2023-06-29
B000253,U0613,T035,2024-01-27,Lunch,2,Casual,62,Completed,False,True,26,231.48,2024-01-25
B000254,U0665,T005,2023-04-24,Prime Dinner,2,Celebration,119,Completed,False,False,5,250.43,2023-04-13
B000255,U0757,T014,2024-06-15,Lunch,4,Celebration,60,Completed,False,False,14,567.63,2024-06-08
B000256,U0657,T038,2023-06-02,Prime Dinner,2,Celebration,155,No-show,False,False,11,231.82,2023-05-04
