interaction_id,user_id,table_id,interaction_type,timestamp,rating,session_duration_seconds,device_type,source
I000081,U0170,T041,inquiry,2024-08-04 00:00:00,,,mobile,recommendation
I000082,U0867,T004,view,2024-07-24 00:00:00,,33.219017899371146,desktop,search
I000083,U0485,T005,view,2024-12-27 00:00:00,,33.07968862071052,mobile,direct
I000084,U0158,T014,view,2024-10-12 00:00:00,,99.45889008630715,desktop,search
I000085,U0463,T007,share,2024-11-28 00:00:00,,,mobile,recommendation
I000086,U0927,T021,inquiry,2024-12-30 00:00:00,,,desktop,search
I000087,U0191,T045,view,2024-03-31 00:00:00,,100.45842063555521,mobile,browse
I000088,U0095,T038,inquiry,2024-05-27 00:00:00,,,desktop,recommendation
I000089,U0339,T003,view,2024-03-16 00:00:00,,66.48741654793643,mobile,search
I000090,U0564,T048,inquiry,2024-03-16 00:00:00,,,mobile,search
I000091,U0532,T009,view,2023-02-16 00:00:00,,255.2008926768571,desktop,search
I000092,U0361,T047,view,2024-03-09 00:00:00,,268.5530781290234,mobile,search
I000093,U0654,T033,view,2023-05-01 00:00:00,,77.89792330983455,desktop,search
I000094,U0046,T023,view,2023-08-06 00:00:00,,153.67333414199695,desktop,direct
I000095,U0013,T023,view,2024-02-01 00:00:00,,63.95930062504336,desktop,search
I000096,U0848,T005,view,2023-04-29 00:00:00,,115.38275445303701,mobile,browse
I000097,U0131,T048,view,2023-03-29 00:00:00,,321.5080706764913,mobile,search
I000098,U0185,T004,view,2023-04-19 00:00:00,,405.12575264346276,mobile,search
I000099,U0065,T026,rating,2023-11-06 00:00:00,4.2,,tablet,recommendation
I000100,U0053,T027,inquiry,2023-12-08 00:00:00,,,desktop,browse
I000101,U0480,T020,rating,2024-04-17 00:00:00,3.9,,tablet,direct
I000102,U0688,T036,view,2023-10-27 00:00:00,,56.020083162627095,mobile,recommendation
I000103,U0619,T045,inquiry,2023-08-12 00:00:00,,,desktop,search
I000104,U0277,T038,view,2023-10-12 00:00:00,,100.87603049852702,mobile,recommendation
I000105,U0383,T026,inquiry,2023-09-18 00:00:00,,,desktop,recommendation
I000106,U0468,T031,view,2023-05-21 00:00:00,,90.48085373599788,mobile,search
I000107,U0928,T028,share,2023-11-01 00:00:00,,,desktop,recommendation
I000108,U0522,T016,view,2023-03-13 00:00:00,,211.93213171015435,tablet,search
I000109,U0623,T034,view,2024-09-12 00:00:00,,165.27850886004262,mobile,search
I000110,U0738,T034,view,2023-03-12 00:00:00,,99.80187667030164,desktop,search
I000111,U0911,T006,view,2023-06-19 00:00:00,,107.41128608523526,mobile,search
I000112,U0411,T004,view,2023-10-19 00:00:00,,249.60355681686298,mobile,browse
I000113,U0105,T038,favorite,2024-01-19 00:00:00,,,tablet,search
I000114,U0817,T002,view,2023-12-21 00:00:00,,162.5467886599354,mobile,search
I000115,U0779,T011,view,2024-06-07 00:00:00,,78.0540184469695,tablet,browse
I000116,U0771,T017,inquiry,2024-03-25 00:00:00,,,mobile,browse
I000117,U0781,T013,view,2023-06-08 00:00:00,,26.10683494685706,mobile,recommendation
I000118,U0721,T016,view,2023-01-05 00:00:00,,135.83369091480637,mobile,browse
I000119,U0497,T011,view,2023-02-20 00:00:00,,205.74530347473427,mobile,browse
I000120,U0709,T002,view,2023-11-30 00:00:00,,39.73828436612861,tablet,search
I000121,U0117,T037,share,2023-05-25 00:00:00,,,mobile,search
I000122,U0987,T012,view,2023-01-14 00:00:00,,27.28194265650623,tablet,recommendation
I000123,U0757,T017,inquiry,2024-07-16 00:00:00,,,mobile,browse
I000124,U0843,T006,favorite,2024-03-09 00:00:00,,,mobile,search
I000125,U0096,T003,view,2024-02-07 00:00:00,,96.10846607292503,mobile,search
I000126,U0681,T040,rating,2024-07-13 00:00:00,4.8,,desktop,recommendation
I000127,U0899,T048,inquiry,2023-09-30 00:00:00,,,mobile,recommendation
I000128,U0589,T027,view,2024-02-28 00:00:00,,40.068333860077416,mobile,browse
I000129,U0042,T046,view,2024-08-21 00:00:00,,84.92004893843266,desktop,search
I000130,U0327,T043,view,2023-07-28 00:00:00,,104.82700823407453,desktop,recommendation
I000131,U0013,T040,share,2024-06-11 00:00:00,,,desktop,recommendation
I000132,U0194,T014,rating,2024-04-27 00:00:00,3.8,,mobile,search
I000133,U0804,T029,view,2023-02-06 00:00:00,,172.5594659669118,mobile,search
I000134,U0860,T030,rating,2024-04-24 00:00:00,5.0,,mobile,search
I000135,U0787,T046,view,2023-08-17 00:00:00,,110.06586556626377,mobile,search
I000136,U0536,T039,view,2024-10-15 00:00:00,,184.94070240439166,mobile,browse
I000137,U0342,T016,favorite,2024-06-09 00:00:00,,,tablet,search
I000138,U0451,T050,view,2024-05-16 00:00:00,,69.45835314305211,tablet,recommendation
I000139,U0985,T038,view,2024-11-16 00:00:00,,22.148323415646676,tablet,direct
I000140,U0301,T045,view,2024-04-20 00:00:00,,141.2916737154195,desktop,search
I000141,U0491,T032,share,2024-03-11 00:00:00,,,mobile,recommendation
I000142,U0261,T002,share,2024-01-23 00:00:00,,,mobile,recommendation
I000143,U0265,T037,view,2023-11-09 00:00:00,,343.90686733247173,desktop,direct
I000144,U0320,T018,view,2023-11-01 00:00:00,,364.43205940733503,desktop,recommendation
I000145,U0187,T016,view,2024-01-08 00:00:00,,219.7248200388889,mobile,recommendation
I000146,U0607,T030,view,2024-05-19 00:00:00,,33.587951589447904,desktop,browse
I000147,U0310,T048,inquiry,2023-06-14 00:00:00,,,tablet,recommendation
I000148,U0387,T006,view,2024-08-22 00:00:00,,48.9826069436809,mobile,recommendation
I000149,U0115,T001,inquiry,2024-04-06 00:00:00,,,mobile,search
I000150,U0227,T010,view,2024-12-11 00:00:00,,164.67028052637028,tablet,recommendation
I000151,U0373,T025,favorite,2024-06-29 00:00:00,,,tablet,search
I000152,U0318,T020,view,2024-02-24 00:00:00,,112.36740354676564,desktop,direct
I000153,U0288,T041,inquiry,2023-06-21 00:00:00,,,mobile,recommendation
I000154,U0987,T046,view,2024-01-09 00:00:00,,5.480412907799295,mobile,search
I000155,U0430,T046,view,2023-03-03 00:00:00,,50.77429746319177,tablet,browse
I000156,U0230,T026,inquiry,2024-04-04 00:00:00,,,mobile,search
I000157,U0566,T032,view,2024-04-01 00:00:00,,53.371253420886525,mobile,recommendation
I000158,U0126,T016,view,2024-05-16 00:00:00,,23.60030413398251,desktop,recommendation
I000159,U0880,T050,favorite,2024-01-26 00:00:00,,,desktop,search
I000160,U0006,T029,inquiry,2024-01-16 00:00:00,,,tablet,search
I000161,U0403,T025,inquiry,2023-08-25 00:00:00,,,mobile,search
I000162,U0872,T008,view,2024-08-30 00:00:00,,8.354949867972893,mobile,search
I000163,U0790,T016,view,2024-02-02 00:00:00,,14.186839943131089,desktop,search
I000164,U0813,T020,view,2024-07-19 00:00:00,,116.73506395573672,tablet,search
I000165,U0599,T025,view,2024-08-12 00:00:00,,139.35404387562124,desktop,direct
I000166,U0959,T001,view,2024-01-09 00:00:00,,99.76446777856987,desktop,search
I000167,U0638,T036,inquiry,2023-04-03 00:00:00,,,mobile,search
I000168,U0305,T013,share,2023-04-13 00:00:00,,,mobile,browse
I000169,U0093,T025,view,2023-05-14 00:00:00,,174.6774462757944,mobile,recommendation
I000170,U0090,T015,view,2023-10-22 00:00:00,,406.3541170444926,desktop,recommendation
I000171,U0665,T049,share,2024-07-21 00:00:00,,,mobile,browse
I000172,U0673,T035,rating,2023-08-31 00:00:00,3.9,,desktop,search
I000173,U0718,T028,view,2024-01-24 00:00:00,,51.08587388313848,mobile,search
I000174,U0991,T030,favorite,2024-07-13 00:00:00,,,desktop,recommendation
I000175,U0940,T037,view,2023-02-19 00:00:00,,5.3097942570516095,mobile,direct
I000176,U0556,T021,inquiry,2023-03-02 00:00:00,,,desktop,recommendation
I000177,U0152,T043,favorite,2024-05-27 00:00:00,,,mobile,search
I000178,U0929,T014,view,2024-10-13 00:00:00,,11.172382246089082,desktop,search
I000179,U0478,T041,inquiry,2024-12-13 00:00:00,,,mobile,search
I000180,U0859,T032,inquiry,2023-12-11 00:00:00,,,mobile,recommendation
I000181,U0607,T037,inquiry,2023-09-18 00:00:00,,,mobile,search
I000182,U0101,T031,favorite,2024-12-27 00:00:00,,,mobile,search
I000183,U0013,T036,view,2024-05-09 00:00:00,,64.86086819731818,mobile,search
I000184,U0638,T008,view,2023-04-22 00:00:00,,147.3570199757182,mobile,recommendation
I000185,U0935,T026,view,2024-06-01 00:00:00,,2.303570048608166,tablet,direct
I000186,U0096,T016,inquiry,2024-01-29 00:00:00,,,mobile,search
I000187,U0445,T019,view,2023-09-23 00:00:00,,164.79022074972445,desktop,recommendation
I000188,U0753,T016,view,2024-02-04 00:00:00,,5.442253399232579,desktop,search
I000189,U0885,T036,view,2023-09-12 00:00:00,,1.8285981808483966,mobile,recommendation
I000190,U0610,T046,favorite,2023-09-19 00:00:00,,,mobile,direct
I000191,U0283,T017,view,2024-06-02 00:00:00,,73.42560392293595,mobile,search
I000192,U0646,T025,rating,2024-01-16 00:00:00,3.8,,mobile,browse
I000193,U0884,T032,view,2024-12-08 00:00:00,,63.28858852796773,tablet,search
I000194,U0441,T003,rating,2024-03-20 00:00:00,4.1,,mobile,recommendation
I000195,U0645,T022,favorite,2023-10-25 00:00:00,,,tablet,search
I000196,U0093,T037,view,2024-03-13 00:00:00,,0.0988868438437387,mobile,search
I000197,U0509,T006,view,2023-07-12 00:00:00,,71.56095284008617,mobile,recommendation
I000198,U0382,T023,rating,2024-04-11 00:00:00,3.4,,tablet,search
I000199,U0590,T048,view,2024-02-25 00:00:00,,67.21804658640465,desktop,search
I000200,U0608,T033,view,2024-08-01 00:00:00,,29.35020832113067,mobile,recommendation
I000201,U0790,T049,inquiry,2024-10-04 00:00:00,,,desktop,recommendation
I000202,U0781,T042,inquiry,2024-05-20 00:00:00,,,desktop,search
I000203,U0909,T041,favorite,2024-06-04 00:00:00,,,mobile,search
I000204,U0358,T050,view,2023-04-13 00:00:00,,107.8936162905695,mobile,browse
I000205,U0994,T027,favorite,2024-10-12 00:00:00,,,desktop,direct
I000206,U0072,T024,inquiry,2023-05-06 00:00:00,,,mobile,direct
I000207,U0398,T034,view,2023-06-06 00:00:00,,16.457908150558822,desktop,search
I000208,U0522,T030,view,2023-02-18 00:00:00,,53.75542851257192,mobile,browse
I000209,U0005,T010,view,2024-07-26 00:00:00,,49.71009146825361,mobile,recommendation
I000210,U0368,T040,favorite,2023-02-03 00:00:00,,,mobile,direct
I000211,U0212,T031,view,2023-02-23 00:00:00,,11.501067349797916,desktop,search
I000212,U0875,T036,view,2023-03-22 00:00:00,,282.9061583274647,mobile,recommendation
I000213,U0233,T030,favorite,2024-08-21 00:00:00,,,desktop,browse
I000214,U0993,T042,view,2023-08-12 00:00:00,,255.75171849590302,mobile,direct
I000215,U0800,T033,view,2023-08-04 00:00:00,,162.7362632143734,mobile,recommendation
I000216,U0350,T024,inquiry,2024-05-25 00:00:00,,,mobile,browse
I000217,U0739,T028,view,2024-11-26 00:00:00,,125.87482200177415,desktop,direct
I000218,U0575,T004,view,2023-12-11 00:00:00,,51.07212174571474,desktop,search
I000219,U0681,T038,view,2024-03-15 00:00:00,,221.93949485257383,mobile,direct
I000220,U0651,T029,view,2023-04-12 00:00:00,,8.063097341370145,tablet,browse
I000221,U0669,T016,share,2023-09-02 00:00:00,,,desktop,browse
I000222,U0511,T026,view,2023-06-05 00:00:00,,20.110540513481997,desktop,browse
I000223,U0504,T010,inquiry,2024-06-03 00:00:00,,,mobile,search
I000224,U0616,T050,view,2024-10-27 00:00:00,,13.596563401071128,desktop,recommendation
I000225,U0681,T004,view,2023-02-05 00:00:00,,119.98352740344195,desktop,recommendation
I000226,U0527,T002,view,2024-03-28 00:00:00,,84.24013324698963,tablet,browse
I000227,U0231,T043,view,2024-08-08 00:00:00,,45.798100207644666,tablet,search
I000228,U0165,T002,view,2023-12-20 00:00:00,,100.20423757469221,tablet,search
I000229,U0616,T044,view,2024-09-06 00:00:00,,170.23023065551013,tablet,search
I000230,U0752,T020,view,2024-12-03 00:00:00,,61.204029515540995,tablet,search
I000231,U0064,T017,view,2024-06-29 00:00:00,,344.11283892757535,mobile,browse
I000232,U0500,T037,view,2024-10-15 00:00:00,,100.40734371815563,mobile,search
I000233,U0966,T001,view,2024-03-31 00:00:00,,35.248438621745585,mobile,search
I000234,U0968,T007,view,2023-05-25 00:00:00,,95.82009536364468,mobile,recommendation
I000235,U0446,T017,favorite,2023-06-15 00:00:00,,,mobile,recommendation
I000236,U0300,T006,view,2024-10-11 00:00:00,,7.558375858207311,mobile,search
I000237,U0573,T045,view,2024-06-22 00:00:00,,8.867404217670913,mobile,search
I000238,U0610,T048,favorite,2024-02-15 00:00:00,,,desktop,browse
I000239,U0638,T034,view,2024-11-28 00:00:00,,10.563856128235546,desktop,search
I000240,U0852,T036,view,2023-09-09 00:00:00,,161.96811528366567,mobile,recommendation
I000241,U0605,T046,rating,2023-12-08 00:00:00,4.2,,mobile,browse
I000242,U0704,T037,view,2023-12-24 00:00:00,,6.705126374624506,mobile,recommendation
I000243,U0548,T045,favorite,2023-04-10 00:00:00,,,desktop,search
I000244,U0329,T011,view,2023-12-05 00:00:00,,11.028149033298074,desktop,direct
I000245,U0036,T047,view,2023-10-04 00:00:00,,40.84053263873551,mobile,recommendation
I000246,U0296,T015,view,2024-12-10 00:00:00,,164.74057695089033,mobile,search
I000247,U0192,T044,view,2024-07-26 00:00:00,,69.17344671722259,desktop,search
I000248,U0540,T040,share,2024-08-07 00:00:00,,,desktop,recommendation
I000249,U0831,T032,view,2024-03-30 00:00:00,,89.58007438863592,mobile,search
I000250,U0465,T012,view,2024-07-19 00:00:00,,112.95455222606445,desktop,search
I000251,U0918,T046,rating,2023-10-06 00:00:00,3.7,,desktop,recommendation
I000252,U0919,T038,view,2023-06-21 00:00:00,,81.77498072852843,desktop,search
I000253,U0221,T003,view,2024-12-07 00:00:00,,164.15077734442818,tablet,search
I000254,U0246,T033,view,2024-12-02 00:00:00,,243.83259328925539,tablet,recommendation
I000255,U0171,T012,inquiry,2023-03-06 00:00:00,,,mobile,recommendation
I000256,U0171,T045,view,2024-08-29 00:00:00,,469.4220290298489,desktop,search
I000257,U0401,T033,inquiry,2024-03-29 00:00:00,,,mobile,search
I000258,U0482,T011,view,2024-05-05 00:00:00,,142.76329866814,mobile,search
I000259,U0675,T037,inquiry,2024-08-26 00:00:00,,,desktop,recommendation
I000260,U0602,T047,view,2024-10-17 00:00:00,,161.11062854630728,mobile,recommendation
I000261,U0104,T049,view,2024-11-23 00:00:00,,172.71394482852463,mobile,browse
I000262,U0125,T008,favorite,2023-11-25 00:00:00,,,mobile,browse
I000263,U0204,T020,view,2023-05-19 00:00:00,,49.31108579240454,desktop,search
I000264,U0571,T021,view,2023-09-22 00:00:00,,30.386526961822607,mobile,recommendation
I000265,U0531,T014,view,2023-12-28 00:00:00,,297.2754739166828,mobile,search
I000266,U0616,T050,view,2023-11-20 00:00:00,,114.10580170036256,mobile,search
I000267,U0114,T034,view,2023-02-22 00:00:00,,5.571224590380408,desktop,browse
I000268,U0594,T022,view,2024-11-29 00:00:00,,192.47349265171812,desktop,search
I000269,U0429,T040,view,2023-10-17 00:00:00,,62.2183341637652,mobile,recommendation
I000270,U0256,T037,inquiry,2024-03-20 00:00:00,,,desktop,recommendation
I000271,U0351,T031,view,2023-02-22 00:00:00,,29.79230157120075,mobile,search
I000272,U0323,T026,favorite,2023-06-29 00:00:00,,,mobile,search
I000273,U0133,T019,view,2023-07-28 00:00:00,,41.3815393604616,mobile,direct
I000274,U0587,T047,view,2024-09-24 00:00:00,,102.41908472527697,desktop,recommendation
I000275,U0757,T025,inquiry,2023-10-19 00:00:00,,,mobile,search
I000276,U0590,T022,view,2024-12-28 00:00:00,,99.05935660886502,desktop,browse
I000277,U0206,T010,inquiry,2023-10-29 00:00:00,,,mobile,recommendation
I000278,U0225,T008,view,2024-05-21 00:00:00,,6.970015937075075,mobile,search
I000279,U0257,T047,view,2023-11-05 00:00:00,,182.5870730502839,mobile,browse
I000280,U0605,T003,view,2023-06-03 00:00:00,,204.97371552600134,mobile,recommendation
I000281,U0182,T011,view,2023-11-29 00:00:00,,94.24572962695544,tablet,browse
I000282,U0045,T025,inquiry,2023-03-10 00:00:00,,,mobile,direct
I000283,U0768,T010,favorite,2024-08-22 00:00:00,,,mobile,recommendation
I000284,U0158,T021,view,2023-10-03 00:00:00,,116.29175613758946,mobile,browse
I000285,U0895,T007,view,2024-10-19 00:00:00,,1.7652929885653494,mobile,browse
I000286,U0209,T020,inquiry,2024-01-24 00:00:00,,,mobile,search
I000287,U0654,T023,view,2024-03-27 00:00:00,,28.56417966496549,tablet,search
I000288,U0891,T035,view,2023-08-09 00:00:00,,75.55787332153845,desktop,browse
I000289,U0925,T040,view,2023-11-27 00:00:00,,73.15243548257736,mobile,search
I000290,U0868,T021,view,2023-09-12 00:00:00,,40.80223454709321,desktop,search
I000291,U0107,T042,inquiry,2023-08-19 00:00:00,,,mobile,recommendation
I000292,U0657,T031,inquiry,2024-08-08 00:00:00,,,tablet,browse
I000293,U0491,T007,view,2023-10-27 00:00:00,,19.299591917884527,mobile,search
I000294,U0855,T010,view,2023-04-30 00:00:00,,18.13640089968091,desktop,search
I000295,U0931,T038,share,2024-05-23 00:00:00,,,mobile,recommendation
I000296,U0658,T033,inquiry,2023-11-14 00:00:00,,,desktop,search
I000297,U0571,T027,view,2023-05-22 00:00:00,,166.6841587352484,desktop,browse
I000298,U0750,T013,view,2024-08-28 00:00:00,,38.28217630229853,mobile,search
I000299,U0551,T046,rating,2024-07-22 00:00:00,4.7,,mobile,search
I000300,U0638,T019,view,2023-09-06 00:00:00,,156.46022132111415,desktop,browse
I000301,U0181,T022,view,2024-11-13 00:00:00,,112.91052330445193,mobile,browse
I000302,U0860,T006,view,2024-05-14 00:00:00,,171.5619539737154,mobile,search
I000303,U0230,T021,view,2024-03-31 00:00:00,,133.0201926948363,mobile,recommendation
I000304,U0580,T026,rating,2024-02-13 00:00:00,3.5,,desktop,browse
I000305,U0402,T018,view,2024-09-16 00:00:00,,50.2279809345469,desktop,direct
I000306,U0014,T006,inquiry,2024-10-10 00:00:00,,,mobile,browse
I000307,U0132,T036,favorite,2024-02-15 00:00:00,,,mobile,direct
I000308,U0696,T041,view,2023-06-04 00:00:00,,36.516716249377644,mobile,search
I000309,U0574,T026,view,2024-05-07 00:00:00,,122.46794366739914,mobile,recommendation
I000310,U0703,T002,inquiry,2023-01-19 00:00:00,,,desktop,browse
I000311,U0997,T049,view,2024-06-07 00:00:00,,145.67110147471848,mobile,browse
I000312,U0584,T022,inquiry,2024-05-11 00:00:00,,,mobile,direct
I000313,U0697,T029,share,2023-03-18 00:00:00,,,desktop,direct
I000314,U0646,T013,rating,2023-04-11 00:00:00,4.0,,mobile,recommendation
I000315,U0959,T011,view,2024-06-26 00:00:00,,151.52892533288423,desktop,search
I000316,U0365,T023,inquiry,2023-11-24 00:00:00,,,desktop,search
I000317,U0055,T050,favorite,2023-07-30 00:00:00,,,tablet,search
I000318,U0665,T027,view,2023-11-10 00:00:00,,25.160245879333537,mobile,search
I000319,U0491,T039,view,2023-07-06 00:00:00,,252.94758032871673,mobile,recommendation
I000320,U0745,T033,view,2024-04-05 00:00:00,,14.301438764455682,desktop,recommendation
I000321,U0793,T015,view,2023-10-08 00:00:00,,47.295610990349445,mobile,direct
I000322,U0551,T043,view,2024-01-12 00:00:00,,81.46198104325194,desktop,browse
I000323,U0121,T030,inquiry,2023-10-04 00:00:00,,,mobile,search
I000324,U0606,T035,view,2024-04-03 00:00:00,,123.69135281433454,mobile,search
I000325,U0430,T021,rating,2023-04-23 00:00:00,3.9,,tablet,browse
I000326,U0313,T046,view,2024-01-29 00:00:00,,18.240812081805483,desktop,search
I000327,U0562,T027,inquiry,2023-05-26 00:00:00,,,tablet,search
I000328,U0465,T008,view,2024-01-23 00:00:00,,21.61870791510252,mobile,search
I000329,U0540,T039,view,2024-08-06 00:00:00,,104.50113883595199,mobile,search
I000330,U0243,T007,view,2024-12-03 00:00:00,,18.008094074311984,tablet,browse
I000331,U0348,T024,view,2023-03-17 00:00:00,,36.11737093022006,mobile,search
I000332,U0353,T024,view,2023-03-01 00:00:00,,154.04739991069027,desktop,recommendation
I000333,U0233,T024,inquiry,2024-01-11 00:00:00,,,mobile,search
I000334,U0961,T044,view,2023-07-02 00:00:00,,85.66811065973654,mobile,recommendation
I000335,U0696,T045,inquiry,2024-09-30 00:00:00,,,desktop,direct
I000336,U0157,T034,view,2023-08-14 00:00:00,,76.03780396742756,mobile,search
I000337,U0172,T039,rating,2024-11-27 00:00:00,4.0,,mobile,recommendation
I000338,U0913,T009,inquiry,2024-02-06 00:00:00,,,desktop,search
I000339,U0032,T047,view,2023-07-24 00:00:00,,228.33407267745923,mobile,browse
I000340,U0243,T022,inquiry,2023-08-09 00:00:00,,,desktop,recommendation
I000341,U0709,T022,view,2024-03-26 00:00:00,,24.755466659692065,tablet,search
I000342,U0043,T005,view,2024-01-30 00:00:00,,28.98818858300868,mobile,browse
I000343,U0003,T044,view,2023-08-22 00:00:00,,200.3980459074753,desktop,browse
I000344,U0283,T050,view,2023-08-20 00:00:00,,134.45710163505944,tablet,browse
